dataset,noise_type,initial_noise,slope,stderr,corr,threshold,p_value,combine
krkp,sym,0.0,0.0034167966666666847,0.004128259796210143,0.2985585892772502,0.1,0.0000,krkp_sym_0.0
krkp,sym,0.1,0.015362545466666664,0.003248766024774447,0.8726899673238475,0.1,0.0000,krkp_sym_0.1
krkp,sym,0.2,0.01624934800000003,0.0021114643602739187,0.9456741422254381,0.1,0.0000,krkp_sym_0.2
krkp,sym,0.3,0.011919666000000106,0.005958489569139122,0.6031091988414258,0.1,0.0000,krkp_sym_0.3
krkp,pair,0.0,0.0034167966666666847,0.004128259796210143,0.2985585892772502,0.1,0.0000,krkp_pair_0.0
krkp,pair,0.1,0.015362545466666664,0.003248766024774447,0.8726899673238475,0.1,0.0000,krkp_pair_0.1
krkp,pair,0.2,0.01624934800000003,0.0021114643602739187,0.9456741422254381,0.1,0.0000,krkp_pair_0.2
krkp,pair,0.3,0.011919666000000106,0.005958489569139122,0.6031091988414258,0.1,0.0000,krkp_pair_0.3
waveform,instance,0.0,0.22370000000000004,0.004946737474357304,0.9982928935135448,0.1,1.0000,waveform_instance_0.0
waveform,instance,0.1,0.2073166666666667,0.003848773253330767,0.9987959089880647,0.1,1.0000,waveform_instance_0.1
waveform,instance,0.2,0.17855000000000004,0.003366625412288579,0.9987579809984269,0.1,1.0000,waveform_instance_0.2
waveform,instance,0.3,0.15602499999999997,0.005018172333771317,0.9963990255488758,0.1,1.0000,waveform_instance_0.3
waveform,sym,0.0,0.2569999999999999,0.005497305737392851,0.9984024300402721,0.1,1.0000,waveform_sym_0.0
waveform,sym,0.1,0.21676666666666664,0.0030367937700996666,0.999313775165937,0.1,1.0000,waveform_sym_0.1
waveform,sym,0.2,0.18786666666666674,0.003387238734336109,0.9988641531700749,0.1,1.0000,waveform_sym_0.2
waveform,sym,0.3,0.15114166666666673,0.0029298754194580106,0.9986873704350553,0.1,1.0000,waveform_sym_0.3
waveform,pair,0.0,0.2543333333333333,0.0051128663307781815,0.9985885350096049,0.1,1.0000,waveform_pair_0.0
waveform,pair,0.1,0.24597500000000003,0.0035554623933727685,0.999269530270889,0.1,1.0000,waveform_pair_0.1
waveform,pair,0.2,0.24350833333333327,0.002205450349335522,0.9997130224143087,0.1,1.0000,waveform_pair_0.2
waveform,pair,0.3,0.24136666666666673,0.003249415901928074,0.9993662600803149,0.1,1.0000,waveform_pair_0.3
splice,instance,0.0,0.02369383476666666,0.003947673859426975,0.9150404000940406,0.1,0.0000,splice_instance_0.0
splice,instance,0.1,0.02642372016666655,0.005162443853476286,0.8883396939308716,0.1,0.0000,splice_instance_0.1
splice,instance,0.2,0.030838557900000136,0.0040391649063936655,0.9448748242111724,0.1,0.0000,splice_instance_0.2
splice,instance,0.3,0.03697753413333339,0.006182556572197243,0.914516495382449,0.1,0.0000,splice_instance_0.3
splice,sym,0.0,0.05261233013333336,0.0028301028973004992,0.9900239070019982,0.1,0.0000,splice_sym_0.0
splice,sym,0.1,0.04323406466666667,0.004700932993150737,0.961023803990522,0.1,0.0000,splice_sym_0.1
splice,sym,0.2,0.050979623600000024,0.006296831134783094,0.9505314787076572,0.1,0.0000,splice_sym_0.2
splice,sym,0.3,0.03039446150000006,0.003598516249468463,0.9542785565604538,0.1,0.0000,splice_sym_0.3
splice,pair,0.0,0.05016980123333327,0.0051233180719508185,0.9653846191057311,0.1,0.0000,splice_pair_0.0
splice,pair,0.1,0.04762277976666669,0.0026073059811314026,0.9896711241120387,0.1,0.0000,splice_pair_0.1
splice,pair,0.2,0.041366248633333325,0.006043717335874089,0.9327393078891666,0.1,0.0000,splice_pair_0.2
splice,pair,0.3,0.04166666646666659,0.005531625822697984,0.9434908227251529,0.1,0.0000,splice_pair_0.3
g241n,instance,0.0,0.024888888866666698,0.00516406889262795,0.8766030057263076,0.1,0.0000,g241n_instance_0.0
g241n,instance,0.1,0.02622222213333338,0.004624399074906747,0.9062099835165899,0.1,0.0000,g241n_instance_0.1
g241n,instance,0.2,0.013866666600000018,0.005804723464841409,0.6701546585263282,0.1,0.0000,g241n_instance_0.2
g241n,instance,0.3,-0.0029333333333333702,0.004908110273219834,-0.2203389335601069,0.1,0.0000,g241n_instance_0.3
g241n,sym,0.0,0.016444444466666697,0.0034200363429280727,0.8761231768925918,0.1,0.0000,g241n_sym_0.0
g241n,sym,0.1,0.0010666661999999738,0.00281228513940227,0.14190664458136806,0.1,0.0000,g241n_sym_0.1
g241n,sym,0.2,0.00551111093333335,0.002851479444814167,0.5898745653921516,0.1,0.0000,g241n_sym_0.2
g241n,sym,0.3,0.01386666653333332,0.0028428236448048536,0.8790185587810195,0.1,0.0000,g241n_sym_0.3
g241n,pair,0.0,0.016444444466666697,0.0034200363429280727,0.8761231768925918,0.1,0.0000,g241n_pair_0.0
